(147)Sahis,,Mala Hannai(41),Koilabhuti(18),(21)Shikaligar,
(147)Sais,,Mala Jangam(42),Koitar(18),(21)Shikalikar,
(147)Shis,,Mala Masti(43),Kokna(25),(21)Shikalkar,
(148)Sapera,,Mala Sale(44),Kokni(25),(21)Shikalkari,
(149)Shilavat,,Mala Sanyasi(45),Kol(26),(21)Shikilgar,
(15)Besdewa,,Mala(39),Kolam(27),(21)Sikalgar,
(150)Singiwala,,Malkana(12),Kolcha(28),(21)Sikaligar,
(153)Darji,,Mang(46),Kolgha(28),(21)Sikalighar,
(153)Idrisi,,Mang-Garodi(47),Koli Dhor(28),(21)Sikalikar,
(153)Jain Shimpi,,Mang-Garudi(47),Koli Mahadev(29),(21)Sikalkar,
(153)Meru Kshatriya Shimpi,,Mang-Mhashi(46),Koli Malhar(30),(21)Sikh-Shikaligaar,
,,,Kondh(31),,
(153)Meru Shimpi,,Manne(48),Korku(32),(21)Sikh-Shikalikar,
(153)Namdev Shimpi,,Maru-Wankar(38),Kotwalia(47),(21)Sikilgar,
(153)Saisutar,,Masti(49),Koya(18),(21)Sikilkar,
(153)Saitval,,Matang(46),Koya(33),(21)Sikkalgar,
(153)Saitwal,,Mehra(37),Kucha Maria(18),(21)Sikkalkar,
(153)Shetval,,Mehtar (12),Kuchaki Maria(18),(23)Vaidu,
(153)Shetwal,,Menghwal(50),Kukna(25),(24)Vasudeo,
(153)Shimpi,,Menghwar(50),Langoli Pardhi(38),(25)(1)Zinga Bhoi,
(153)Shravak Shimpi,,Minimadik(51),Ma Thakar(44),(25)(10)Manzi,
(153)Telugu Darji,,Mirdha(30),Ma Thakur(44),(25)(11)Jatia,
(153)Telugu Shimpi,,MOCHI (11),Madia (18),(25)(12)Kewat,
(154)Marwadi Sonar,,MOCHIGAR 11,MAHADEV KOLI(29),(25)(13)Dhiwar,
(154)Marwadi Sunar,,Mukri(52),MANA(18),(25)(14)Dheewar,
(154)Marwadi Swarnakar,,Naadiya(53),Mannervarlu(27),(25)(15)Dhimar,
(154)Sonar,,Netkani(44),Mannewar(18),(25)(16)Palewar,
(155)Tandel,,Nona (11),Maria(18),(25)(17)Machhendra,
(157)Targal,,Olgana(12),Mavchi(17),(25)(18)Bhoi Navadi,
(158)Thetwar,,Paasi(54),Mewasi Bhil(8),(25)(18)Lingayat Aambi,
(159)Thoriya,,Pardeshi Chamar (11),Moghya(18),(25)(18)Navadi,
(16)Bhadbhunja,,PASI 54,Mogia(18),(25)(18)Taru Navadi,
(16)Bharadbhunja,,Pathriya(29),Monghya(18),(25)(19)Malhar,
(16)Bhujwa,,Radhemang(46),Mota Nayaka(35),(25)(2)Pardeshi Bhoi,
(16)Bhunj,,Ramnami (11),Mouasi(32),(25)(20)Malhav,
(16)Bhuranji,,RANIGAR 11,Mudia,(25)(21)Boi,
(16)Bhurjawa,,RAVAT 56,Muria(18),(25)(22)Gadhav Bhoi,
(16)Bhurji,,Rawat(56),Nagarchi(18),(25)(23)Khadi Bhoi,
(160)Kasar,,ROHIDAS 11,Nagasia(34),(25)(24)Khare Bhoi,
(160)Tambat,,ROHIT 11,Nagesia(34),(25)(25)Dhevra,
(160)Twashta Kasar,,Rukhi(12),Nagwanshi(18),(25)(26)Bhanara,
(161)Thogti,,Saansi(55),Nahul(32),(25)(26)Bhanare,
(162)Wadi,,Samagara (11),Naikda(35),(25)(26)Bhanari,
(164)Hindu Dharkar,,SAMGAR 11,Naikpod(18),(25)(27)Besta,
(164)Wansphod,,Satnami (11),Nana Nayaka(35),(25)(27)Bestalu,
(166)Warthi,,SC ( 37),Nayaka(35),(25)(27)Bestar,
(168)Yerkula,,Sedma(56),Nihal(32),(25)(27)Besti,
(169)Agale,,Shenwa(56),Ojha(18),(25)(27)Bhanar,
(169)Agri,,Sindholu(57),Oraon(36),(25)(27)Malla,
(169)Kalan,,Suriyaramnami (11),Padvi(17),(25)(27)Mallah,
(17)Bhanta,,Surjyabanshi (11),Pando(6),(25)(27)Navik,
(170)Bhavsar Kshatriya,,Taral(37),PARDHAN(37),(25)(27)Nishad,
(170)Bhavsar Kshatriya Rangari,,Telegu Mochi (11),Pardhi(38),(25)(27)Oda,
(170)Bhavsar Kshatriya Shimpi,,TELGU MOCHI 11,Parja(39),(25)(27)Odelu,
(170)Bhavsar Rangari,,TIRBANDA 58,Patelia(40),(25)(27)Odevar,
(170)Bhavsar Shimpi,,Tirbanda(58),Pathari(37),(25)(3)Rajbhoi,
(170)Bhawsar,,Tirgaar(58),Pawra,(25)(4)Bhoi,
,,,Phans Pardhi(38),,
(170)Rangari,,TIRGAR 58,Phanse Pardhi(38),(25)(5)Kahar,
(170)Rangari Bhavsar,,TURI 59,Pomla(41),(25)(6)Godiya Kahar,
(170)Rangrez,,Turi(59),Raj(18),(25)(7)Dhuria Kahar,
(170)Rangrez,,Vhalar(26),RAJGOND(18),(25)(8)Kirat,
,,,Rajkoya(33),,
(171)Kurahin Shetty,,Wankar(38),Rathawa(42),(25)(9)Machwa,
(172)Nilee,,Yellamalwandalu(20),Rathia(22),(25)Bhoi,
(172)Nilgar,,Yellamwar(20),Rawal Bhil(8),(26)(A)Bohrashi,
(172)Nirali,,Zadgalli(12),Saroti(37),(26)(B)Bahurupiya,
(173)Devangan,,,Sawar(43),(26)(C)Bhorpi,
(173)Koskhati,,,Sawara(43),(26)(D)Rayrandhra,
(174)(1)Zade Sutar,,,Shikari(38),(26)(E)Ayyar,
(174)(2)Panchal Sutar,,,Son Kathodi(21),(26)(E)Ayyari,
(174)Baadhhai,,,Son Katkari(21),(26)Bahurupi,
(174)Badhhai,,,Sonjhari Jhareka(18),"(27)Thelari (In Dhule, Nashik, Jalgaon & Aurangabad Districts.)",
(174)Badhhi,,,Tadvi Bhil(8),(28)(A)Otankar,
(174)Lingayat Sutar,,,Tadvi(13),(28)(B)Otkar,
(174)Sutar,,,Takankar(38),(28)(C)Vatari,
(174)Suthar,,,Takia(38),(28)(D)Ojhari,
(174)Vaadhhai,,,Talavia(16),(28)(E)Otkari,
(174)Vadhhai,,,Tanwar(22),(28)(E)Otokar,
(174)Vadhhi,,,Tetaria (13),(28)(E)Vatkar,
(174)Wadhai,,,Thakar(44),(28)(E)Vatkari,
(174)Wadi,,,Thakur(44),(28)(E)Vatokar,
(175)Futgudi,,,Thatia(18),(28)(E)Votankar,
(177)Mansuri,,,Thoti(45),(28)(F)Vatokaar,
(177)Pinjara,,,Thotya(18),(28)Otari,
(177)Pinjari,,,Tokre Koli(28),(29)(1)Ahir,
(179)Bhilala,,,Vade Maria(18),(29)(1)Dhangar Ahir,
(18)Bhaat,,,Valvi(13),(29)(10)Telangi,
(18)Bhat,,,Varli(46),(29)(11)Tellari,
(181)Deshkar Teli,,,Vasava(8),(29)(12)Kokani-Dhangar,
(181)Donbail Teli,,,Vasave(8),(29)(13)Kanade,
(181)Ek Bahiya Teli,,,Vitolia(47),(29)(14)Varhade Dhangar,
(181)Ekbail Teli,,,Wade Maria(18),(29)(15)Zade,
(181)Erandel Teli,,,,(29)(16)Zende,
(181)Ghanchi,,,,(29)(17)Kurmaar,
(181)Lingayat Teli,,,,(29)(18)Mahure,
(181)Maratha Teli,,,,(29)(19)Ladse,
(181)Savteli,,,,(29)(2)Dange,
(181)Tarane Teli,,,,(29)(20)Sangar,
(181)Teli,,,,(29)(21)Dhanvar,
(181)Tilwan Teli,,,,(29)(22)Gadaria,
(182)(1)Phulmali,,,,(29)(23)Gadri,
(182)(10)Unde,,,,(29)(24)Gadhari,
(182)(11)Lingayat Mali,,,,(29)(25)Dange Dhangar,
(182)(2)Phule,,,,(29)(25)Dongari Dhangar,
(182)(3)Halade,,,,(29)(26)Gadaariya,
(182)(4)Kacha,,,,(29)(26)Gadariya,
